make,model,series,series_year,price,enginesize,fuelsystem,tankcapacity,power,seats,standardtransmission,bodyType,drive,wheelbase
AUDI,A4,1.8 SE 20V,1996,51320,1.8L,MULTI POINT F/INJ,60L,92Kw,5,4A,4D SEDAN,FWD,2617mm
AUDI,A4,1.8 SE 20V,1996,51320,1.8L,MULTI POINT F/INJ,60L,92Kw,5,4A,4D SEDAN,FWD,2617mm
AUDI,A4,1.8 SE 20V,1996,51320,1.8L,MULTI POINT F/INJ,60L,92Kw,5,4A,4D SEDAN,FWD,2617mm
AUDI,A4,1.8 SE 20V,1996,51320,1.8L,MULTI POINT F/INJ,60L,92Kw,5,4A,4D SEDAN,FWD,2617mm
AUDI,A4,B6 2.0 AVANT,2003,54250,2.0L,MULTI POINT F/INJ,70L,96Kw,5,CVTM6,4D WAGON,FWD,2650mm
AUDI,A4,B6 2.0 AVANT,2003,54250,2.0L,MULTI POINT F/INJ,70L,96Kw,5,CVTM6,4D WAGON,FWD,2650mm
AUDI,A4,B6 2.0 AVANT,2003,54250,2.0L,MULTI POINT F/INJ,70L,96Kw,5,CVTM6,4D WAGON,FWD,2650mm
AUDI,A4,B6 2.0 AVANT,2003,54250,2.0L,MULTI POINT F/INJ,70L,96Kw,5,CVTM6,4D WAGON,FWD,2650mm
AUDI,ALLROAD QUATTRO,C5,2001,99250,2.7L,TWIN TURBO MPFI,70L,184Kw,5,5ATip,4D WAGON,AWD,2760mm
AUDI,ALLROAD QUATTRO,C5,2001,99250,2.7L,TWIN TURBO MPFI,70L,184Kw,5,5ATip,4D WAGON,AWD,2760mm
AUDI,ALLROAD QUATTRO,C5,2001,99250,2.7L,TWIN TURBO MPFI,70L,184Kw,5,5ATip,4D WAGON,AWD,2760mm
AUDI,ALLROAD QUATTRO,C5,2001,99250,2.7L,TWIN TURBO MPFI,70L,184Kw,5,5ATip,4D WAGON,AWD,2760mm
AUDI,A3,1.6,2003,35400,1.6L,MULTI POINT F/INJ,55L,75Kw,5,5M,5D HATCHBACK,FWD,2512mm
AUDI,A3,1.6,2003,35400,1.6L,MULTI POINT F/INJ,55L,75Kw,5,5M,5D HATCHBACK,FWD,2512mm
AUDI,A3,1.6,2003,35400,1.6L,MULTI POINT F/INJ,55L,75Kw,5,5M,5D HATCHBACK,FWD,2512mm
AUDI,S3,1.8,2000,65850,1.8L,TURBO MPFI,62L,154Kw,5,6M,3D HATCHBACK,AWD,2519mm
AUDI,S3,1.8,2000,65850,1.8L,TURBO MPFI,62L,154Kw,5,6M,3D HATCHBACK,AWD,2519mm
AUDI,S3,1.8,2000,65850,1.8L,TURBO MPFI,62L,154Kw,5,6M,3D HATCHBACK,AWD,2519mm
AUDI,S3,1.8,2000,65850,1.8L,TURBO MPFI,62L,154Kw,5,6M,3D HATCHBACK,AWD,2519mm
AUDI,S3,1.8,2000,65850,1.8L,TURBO MPFI,62L,154Kw,5,6M,3D HATCHBACK,AWD,2519mm
AUDI,A3,8P SPORTBACK 2.0 TDI AMBITION DSG,2006,47750,2.0L,DIESEL TURBO F/INJ,55L,103Kw,5,6ADSG,5D HATCHBACK,FWD,2578mm
AUDI,A3,8P SPORTBACK 2.0 TDI AMBITION DSG,2006,47750,2.0L,DIESEL TURBO F/INJ,55L,103Kw,5,6ADSG,5D HATCHBACK,FWD,2578mm
AUDI,A3,8P SPORTBACK 2.0 TDI AMBITION DSG,2006,47750,2.0L,DIESEL TURBO F/INJ,55L,103Kw,5,6ADSG,5D HATCHBACK,FWD,2578mm
AUDI,A3,1.8,1999,42450,1.8L,MULTI POINT F/INJ,55L,92Kw,5,4A,3D HATCHBACK,FWD,2512mm
AUDI,A3,1.8,1999,42450,1.8L,MULTI POINT F/INJ,55L,92Kw,5,4A,3D HATCHBACK,FWD,2512mm
AUDI,A3,1.8 TURBO,2004,44950,1.8L,TURBO MPFI,55L,110Kw,5,5M,5D HATCHBACK,FWD,2512mm
AUDI,A3,1.8 TURBO,2004,44950,1.8L,TURBO MPFI,55L,110Kw,5,5M,5D HATCHBACK,FWD,2512mm
AUDI,A3,1.8 TURBO,2004,44950,1.8L,TURBO MPFI,55L,110Kw,5,5M,5D HATCHBACK,FWD,2512mm
AUDI,TT,QUATTRO,2004,92500,1.8L,TURBO MPFI,62L,165Kw,2,6M,2D ROADSTER,AWD,2429mm
AUDI,TT,QUATTRO,2004,92500,1.8L,TURBO MPFI,62L,165Kw,2,6M,2D ROADSTER,AWD,2429mm
AUDI,TT,QUATTRO,2004,92500,1.8L,TURBO MPFI,62L,165Kw,2,6M,2D ROADSTER,AWD,2429mm
AUDI,TT,QUATTRO,2004,92500,1.8L,TURBO MPFI,62L,165Kw,2,6M,2D ROADSTER,AWD,2429mm
AUDI,A3,1.8,2002,38700,1.8L,MULTI POINT F/INJ,55L,92Kw,5,5M,5D HATCHBACK,FWD,2512mm
AUDI,A3,1.8,2002,38700,1.8L,MULTI POINT F/INJ,55L,92Kw,5,5M,5D HATCHBACK,FWD,2512mm
AUDI,A3,1.8,2002,38700,1.8L,MULTI POINT F/INJ,55L,92Kw,5,5M,5D HATCHBACK,FWD,2512mm
AUDI,A3,1.8,2002,38700,1.8L,MULTI POINT F/INJ,55L,92Kw,5,5M,5D HATCHBACK,FWD,2512mm
AUDI,A6,4B 2.4 V6,2003,80900,2.4L,MULTI POINT F/INJ,70L,125Kw,5,CVTM6,4D SEDAN,FWD,2749mm
AUDI,A6,4B 2.4 V6,2003,80900,2.4L,MULTI POINT F/INJ,70L,125Kw,5,CVTM6,4D SEDAN,FWD,2749mm
AUDI,A4,B6 2.0,2002,50650,2.0L,MULTI POINT F/INJ,70L,77Kw,2,5M,VAN,FWD,2682mm
AUDI,A4,B6 2.0,2002,50650,2.0L,MULTI POINT F/INJ,70L,NULL,NULL,NULL,NULL,NULL,NULL
AUDI,A3,8P SPORTBACK 2.0 TDI AMBITION DSG,2005,47750,2.0L,DIESEL TURBO F/INJ,55L,NULL,NULL,NULL,NULL,NULL,NULL
AUDI,90,SPORT,1990,42245,2.3L,ELECTRONIC F/INJ,68L,NULL,NULL,NULL,NULL,NULL,NULL
AUDI,A4,B7 2.0,2007,50450,2.0L,MULTI POINT F/INJ,70L,92Kw,5,5M,4D SEDAN,FWD,2605mm
AUDI,A4,B7 2.0,2007,50450,2.0L,MULTI POINT F/INJ,70L,NULL,NULL,NULL,NULL,NULL,NULL
AUDI,TT,MY99,1999,73000,1.8L,TURBO MPFI,55L,NULL,NULL,NULL,NULL,NULL,NULL
AUDI,A4,1.8 SE 20V,1996,51320,1.8L,MULTI POINT F/INJ,60L,NULL,NULL,NULL,NULL,NULL,NULL
AUDI,A4,1.8 SE 20V,1996,51320,1.8L,MULTI POINT F/INJ,60L,184Kw,5,6ADSG,4D SEDAN,AWD,2709mm
AUDI,A4,1.8 SE 20V,1996,51320,1.8L,MULTI POINT F/INJ,60L,85Kw,5,4A,5D HATCHBACK,FWD,2511mm
AUDI,A4,1.8 SE 20V,1996,51320,1.8L,MULTI POINT F/INJ,60L,128Kw,5,6ATip,4D WAGON,4WD,2855mm
AUDI,A4,B6 2.0 AVANT,2003,54250,2.0L,MULTI POINT F/INJ,70L,136Kw,7,4A,4D WAGON,4WD,2540mm
AUDI,A4,B6 2.0 AVANT,2003,54250,2.0L,MULTI POINT F/INJ,70L,135Kw,5,4A,4D SEDAN,RWD,2800mm
AUDI,A4,B6 2.0 AVANT,2003,54250,2.0L,MULTI POINT F/INJ,70L,114Kw,5,5MSel,4D SEDAN,FWD,2595mm
AUDI,A4,B6 2.0 AVANT,2003,54250,2.0L,MULTI POINT F/INJ,70L,105Kw,5,5ATS,4D SEDAN,RWD,2715mm
AUDI,ALLROAD QUATTRO,C5,2001,99250,2.7L,TWIN TURBO MPFI,70L,78Kw,5,5M,4D SEDAN,FWD,2610mm
AUDI,ALLROAD QUATTRO,C5,2001,99250,2.7L,TWIN TURBO MPFI,70L,92Kw,5,5M,4D SEDAN,FWD,2605mm
AUDI,ALLROAD QUATTRO,C5,2001,99250,2.7L,TWIN TURBO MPFI,70L,92Kw,5,4A,5D HATCHBACK,FWD,2605mm
AUDI,ALLROAD QUATTRO,C5,2001,99250,2.7L,TWIN TURBO MPFI,70L,147Kw,4,6M,2D COUPE,RWD,2525mm
AUDI,A3,1.6,2003,35400,1.6L,MULTI POINT F/INJ,55L,103Kw,5,6ADSG,4D SEDAN,FWD,2578mm
AUDI,A3,1.6,2003,35400,1.6L,MULTI POINT F/INJ,55L,103Kw,5,6M,5D HATCHBACK,FWD,2578mm
AUDI,A3,1.6,2003,35400,1.6L,MULTI POINT F/INJ,55L,NULL,NULL,NULL,NULL,NULL,NULL
AUDI,S3,1.8,2000,65850,1.8L,TURBO MPFI,62L,125Kw,5,5AS,2D COUPE,RWD,2725mm
AUDI,S3,1.8,2000,65850,1.8L,TURBO MPFI,62L,96Kw,5,CVTM6,4D WAGON,FWD,2650mm
AUDI,S3,1.8,2000,65850,1.8L,TURBO MPFI,62L,184Kw,5,5ATip,4D WAGON,AWD,2760mm
AUDI,S3,1.8,2000,65850,1.8L,TURBO MPFI,62L,184Kw,5,6ADSG,4D SEDAN,AWD,2709mm
AUDI,S3,1.8,2000,65850,1.8L,TURBO MPFI,62L,NULL,NULL,NULL,NULL,NULL,NULL
AUDI,A3,8P SPORTBACK 2.0 TDI AMBITION DSG,2006,47750,2.0L,DIESEL TURBO F/INJ,55L,150Kw,5,6A,4D WAGON,4WD,2820mm
AUDI,A3,8P SPORTBACK 2.0 TDI AMBITION DSG,2006,47750,2.0L,DIESEL TURBO F/INJ,55L,63Kw,0,4M,2D ROADSTER,RWD,2280mm
AUDI,A3,8P SPORTBACK 2.0 TDI AMBITION DSG,2006,47750,2.0L,DIESEL TURBO F/INJ,55L,87Kw,5,5M,4D SEDAN,RWD,2725mm
AUDI,A3,1.8,1999,42450,1.8L,MULTI POINT F/INJ,55L,125Kw,5,5M,2D COUPE,RWD,2725mm
AUDI,A3,1.8,1999,42450,1.8L,MULTI POINT F/INJ,55L,NULL,NULL,NULL,NULL,NULL,NULL
AUDI,A3,1.8 TURBO,2004,44950,1.8L,TURBO MPFI,55L,170Kw,5,5AS,4D SEDAN,RWD,2830mm
AUDI,A3,1.8 TURBO,2004,44950,1.8L,TURBO MPFI,55L,110Kw,5,5A,4D SEDAN,RWD,2761mm
AUDI,A3,1.8 TURBO,2004,44950,1.8L,TURBO MPFI,55L,NULL,NULL,NULL,NULL,NULL,NULL
AUDI,TT,QUATTRO,2004,92500,1.8L,TURBO MPFI,62L,147Kw,4,5M,2D COUPE,RWD,2525mm
AUDI,TT,QUATTRO,2004,92500,1.8L,TURBO MPFI,62L,160Kw,5,5ATS,4D WAGON,4WD,2820mm
AUDI,TT,QUATTRO,2004,92500,1.8L,TURBO MPFI,62L,215Kw,5,5ATS,4D WAGON,4WD,2820mm
AUDI,TT,QUATTRO,2004,92500,1.8L,TURBO MPFI,62L,NULL,NULL,NULL,NULL,NULL,NULL
AUDI,A3,1.8,2002,38700,1.8L,MULTI POINT F/INJ,55L,147Kw,4,5M,2D COUPE,RWD,2525mm
AUDI,A3,1.8,2002,38700,1.8L,MULTI POINT F/INJ,55L,92Kw,5,5MSeq,5D HATCHBACK,FWD,2423mm
AUDI,A3,1.8,2002,38700,1.8L,MULTI POINT F/INJ,55L,72Kw,5,5M,5D HATCHBACK,FWD,2472mm
AUDI,A3,1.8,2002,38700,1.8L,MULTI POINT F/INJ,55L,92Kw,5,5MSeq,5D HATCHBACK,FWD,2593mm
AUDI,A6,4B 2.4 V6,2003,80900,2.4L,MULTI POINT F/INJ,70L,100Kw,5,4ATip,5D HATCHBACK,FWD,2608mm
AUDI,A6,4B 2.4 V6,2003,80900,2.4L,MULTI POINT F/INJ,70L,55Kw,5,5M,5D HATCHBACK,FWD,2442mm
BMW,X5,E53 3.0d,2004,84500,3.0L,TURBO CDI,93L,150Kw,5,6A,4D WAGON,4WD,2820mm
BMW,3,E46 18i EXECUTIVE,2002,56550,2.0L,MULTI POINT F/INJ,63L,105Kw,5,5AS,4D SEDAN,RWD,2725mm
BMW,3,23i,1996,62550,2.5L,MULTI POINT F/INJ,62L,125Kw,5,5M,4D SEDAN,RWD,2700mm
BMW,3,23i,1996,62550,2.5L,MULTI POINT F/INJ,62L,125Kw,5,5M,4D SEDAN,RWD,2700mm
BMW,3,E46 30Ci,2001,109050,3.0L,MULTI POINT F/INJ,63L,170Kw,5,5AS,2D CONVERTIBLE,RWD,2725mm
BMW,7,35i EXECUTIVE,1987,136500,3.4L,ELECTRONIC F/INJ,90L,155Kw,5,4A,4D SEDAN,RWD,2833mm
BMW,7,35i EXECUTIVE,1987,136500,3.4L,ELECTRONIC F/INJ,90L,155Kw,5,4A,4D SEDAN,RWD,2833mm
BMW,5,E60 25i,2005,89000,2.5L,MULTI POINT F/INJ,70L,141Kw,5,6AS,4D SEDAN,RWD,2888mm
BMW,3,E91 23i TOURING,2006,71500,2.5L,MULTI POINT F/INJ,60L,130Kw,5,6AS,4D WAGON,RWD,2760mm
BMW,5,E34 25i EXECUTIVE,1996,98200,2.5L,ELECTRONIC F/INJ,80L,141Kw,5,5A,4D SEDAN,RWD,2761mm
BMW,5,E34 25i EXECUTIVE,1996,98200,2.5L,ELECTRONIC F/INJ,80L,141Kw,5,5A,4D SEDAN,RWD,2761mm
BMW,3,E36 16i OPEN AIR,1995,46200,1.6L,MULTI POINT F/INJ,52L,75Kw,5,5M,3D HATCHBACK,RWD,2700mm
BMW,3,E36 16i OPEN AIR,1995,46200,1.6L,MULTI POINT F/INJ,52L,75Kw,5,5M,3D HATCHBACK,RWD,2700mm
BMW,3,E36 16i OPEN AIR,1995,46200,1.6L,MULTI POINT F/INJ,52L,75Kw,5,5M,3D HATCHBACK,RWD,2700mm
BMW,3,E90 20i EXECUTIVE,2005,57200,2.0L,MULTI POINT F/INJ,65L,110Kw,5,6AS,4D SEDAN,RWD,2760mm
BMW,3,E90 20i EXECUTIVE,2005,57200,2.0L,MULTI POINT F/INJ,65L,110Kw,5,6AS,4D SEDAN,RWD,2760mm
BMW,3,E90 20i EXECUTIVE,2005,57200,2.0L,MULTI POINT F/INJ,65L,110Kw,5,6AS,4D SEDAN,RWD,2760mm
BMW,3,E90 20i EXECUTIVE,2005,57200,2.0L,MULTI POINT F/INJ,65L,110Kw,5,6AS,4D SEDAN,RWD,2760mm
BMW,3,E46 30i,2001,90700,3.0L,MULTI POINT F/INJ,63L,170Kw,5,5AS,4D SEDAN,RWD,2725mm
BMW,3,E46 30i,2001,90700,3.0L,MULTI POINT F/INJ,63L,170Kw,5,5AS,4D SEDAN,RWD,2725mm
BMW,X5,E53 3.0i,2004,84000,3.0L,MULTI POINT F/INJ,93L,170Kw,5,5AS,4D WAGON,4WD,2820mm
BMW,X5,E53 3.0i,2004,84000,3.0L,MULTI POINT F/INJ,93L,170Kw,5,5AS,4D WAGON,4WD,2820mm
BMW,X5,E53 3.0i,2004,84000,3.0L,MULTI POINT F/INJ,93L,170Kw,5,5AS,4D WAGON,4WD,2820mm
BMW,X5,E53 3.0i,2004,84000,3.0L,MULTI POINT F/INJ,93L,170Kw,5,5AS,4D WAGON,4WD,2820mm
BMW,3,18is,1998,56600,1.9L,MULTI POINT F/INJ,65L,103Kw,5,4A,4D SEDAN,RWD,2700mm
BMW,7,35i,1984,59500,3.2L,ELECTRONIC F/INJ,100L,145Kw,5,4A,4D SEDAN,RWD,2795mm
BMW,7,35i,1984,59500,3.2L,ELECTRONIC F/INJ,100L,145Kw,5,4A,4D SEDAN,RWD,2795mm
BMW,7,35i,1984,59500,3.2L,ELECTRONIC F/INJ,100L,145Kw,5,4A,4D SEDAN,RWD,2795mm
BMW,7,35i,1984,59500,3.2L,ELECTRONIC F/INJ,100L,145Kw,5,4A,4D SEDAN,RWD,2795mm
BMW,3,E46 20i SPORT,2005,65300,2.2L,MULTI POINT F/INJ,63L,125Kw,5,5AS,4D SEDAN,RWD,2725mm
BMW,3,E46 16ti,2002,43869,1.8L,MULTI POINT F/INJ,63L,85Kw,5,5AS,3D HATCHBACK,RWD,2725mm
BMW,3,E46 16ti,2002,43869,1.8L,MULTI POINT F/INJ,63L,85Kw,5,5AS,3D HATCHBACK,RWD,2725mm
BMW,3,E46 16ti,2002,43869,1.8L,MULTI POINT F/INJ,63L,85Kw,5,5AS,3D HATCHBACK,RWD,2725mm
BMW,3,E46 16ti,2002,43869,1.8L,MULTI POINT F/INJ,63L,85Kw,5,5AS,3D HATCHBACK,RWD,2725mm
BMW,3,E46 16ti,2002,43869,1.8L,MULTI POINT F/INJ,63L,85Kw,5,5AS,3D HATCHBACK,RWD,2725mm
BMW,1,E87 20i,2005,44100,2.0L,MULTI POINT F/INJ,50L,110Kw,5,6A,5D HATCHBACK,RWD,2660mm
BMW,1,E87 20i,2005,44100,2.0L,MULTI POINT F/INJ,50L,110Kw,5,6A,5D HATCHBACK,RWD,2660mm
BMW,3,20i,1989,54700,2.0L,ELECTRONIC F/INJ,65L,95Kw,5,5M,4D SEDAN,RWD,2570mm
BMW,3,20i,1989,54700,2.0L,ELECTRONIC F/INJ,65L,95Kw,5,5M,4D SEDAN,RWD,2570mm
BMW,3,20i,1989,54700,2.0L,ELECTRONIC F/INJ,65L,95Kw,5,5M,4D SEDAN,RWD,2570mm
BMW,3,20i,1989,54700,2.0L,ELECTRONIC F/INJ,65L,95Kw,5,5M,4D SEDAN,RWD,2570mm
BMW,3,E46 20Ci,2001,67050,2.2L,MULTI POINT F/INJ,63L,125Kw,5,5AS,2D COUPE,RWD,2725mm
BMW,3,E46 20Ci,2001,67050,2.2L,MULTI POINT F/INJ,63L,125Kw,5,5AS,2D COUPE,RWD,2725mm
BMW,3,25i,1988,74500,2.5L,ELECTRONIC F/INJ,55L,125Kw,5,4A,4D SEDAN,RWD,2570mm
BMW,3,25i,1988,74500,2.5L,ELECTRONIC F/INJ,55L,125Kw,5,4A,4D SEDAN,RWD,2570mm
BMW,3,E46 18i SPORT,2005,54500,2.0L,MULTI POINT F/INJ,63L,105Kw,5,5M,4D SEDAN,RWD,2725mm
BMW,3,E46 18i SPORT,2005,54500,2.0L,MULTI POINT F/INJ,63L,105Kw,5,5M,4D SEDAN,RWD,2725mm
BMW,3,E36 28i,1996,83330,2.8L,MULTI POINT F/INJ,65L,142Kw,5,5A,4D SEDAN,RWD,2700mm
BMW,3,E36 28i,1996,83330,2.8L,MULTI POINT F/INJ,65L,142Kw,5,5A,4D SEDAN,RWD,2700mm
BMW,3,E36 28i,1996,83330,2.8L,MULTI POINT F/INJ,65L,142Kw,5,5A,4D SEDAN,RWD,2700mm
BMW,3,E36 28i,1996,83330,2.8L,MULTI POINT F/INJ,65L,142Kw,5,5A,4D SEDAN,RWD,2700mm
BMW,3,E36 28i,1996,83330,2.8L,MULTI POINT F/INJ,65L,142Kw,5,5A,4D SEDAN,RWD,2700mm
BMW,5,28i,1997,96500,2.8L,MULTI POINT F/INJ,70L,142Kw,5,5AS,4D SEDAN,RWD,2830mm
BMW,5,28i,1997,96500,2.8L,MULTI POINT F/INJ,70L,142Kw,5,5AS,4D SEDAN,RWD,2830mm
BMW,5,28i,1997,96500,2.8L,MULTI POINT F/INJ,70L,142Kw,5,5AS,4D SEDAN,RWD,2830mm
BMW,3,18i,1997,51320,1.8L,ELECTRONIC F/INJ,65L,85Kw,5,4A,4D SEDAN,RWD,2700mm
BMW,3,18i,1997,51320,1.8L,ELECTRONIC F/INJ,65L,85Kw,5,4A,4D SEDAN,RWD,2700mm
BMW,3,18i,1997,51320,1.8L,ELECTRONIC F/INJ,65L,85Kw,5,4A,4D SEDAN,RWD,2700mm
BMW,3,18i,1997,51320,1.8L,ELECTRONIC F/INJ,65L,85Kw,5,4A,4D SEDAN,RWD,2700mm
BMW,3,18i,1997,51320,1.8L,ELECTRONIC F/INJ,65L,85Kw,5,4A,4D SEDAN,RWD,2700mm
BMW,3,18i,1997,51320,1.8L,ELECTRONIC F/INJ,65L,85Kw,5,4A,4D SEDAN,RWD,2700mm
BMW,3,18is,1997,55100,1.9L,MULTI POINT F/INJ,65L,103Kw,5,5M,4D SEDAN,RWD,2700mm
BMW,3,18is,1997,55100,1.9L,MULTI POINT F/INJ,65L,103Kw,5,5M,4D SEDAN,RWD,2700mm
BMW,3,E46 18i EXECUTIVE,2001,53950,2.0L,MULTI POINT F/INJ,63L,105Kw,5,5M,4D SEDAN,RWD,2725mm
BMW,X5,E53 3.0i,2001,82350,3.0L,MULTI POINT F/INJ,93L,170Kw,5,5AS,4D WAGON,4WD,2820mm
BMW,X5,E53 3.0i,2001,82350,3.0L,MULTI POINT F/INJ,93L,170Kw,5,5AS,4D WAGON,4WD,2820mm
BMW,1,E87 20d,2006,47800,2.0L,DIESEL TURBO F/INJ,51L,115Kw,5,6A,5D HATCHBACK,RWD,2660mm
BMW,1,E87 20d,2006,47800,2.0L,DIESEL TURBO F/INJ,51L,115Kw,5,6A,5D HATCHBACK,RWD,2660mm
BMW,3,E46 18i EXECUTIVE,2000,52070,1.9L,MULTI POINT F/INJ,63L,87Kw,5,5M,4D SEDAN,RWD,2725mm
BMW,3,E46 18i EXECUTIVE,2000,52070,1.9L,MULTI POINT F/INJ,63L,87Kw,5,5M,4D SEDAN,RWD,2725mm
BMW,X5,E53 3.0i,2006,84000,3.0L,MULTI POINT F/INJ,93L,170Kw,5,5AS,4D WAGON,4WD,2820mm
BMW,3,18i,1995,49650,1.8L,ELECTRONIC F/INJ,65L,85Kw,5,5M,4D SEDAN,RWD,2700mm
BMW,3,23Ci,1999,73900,2.5L,MULTI POINT F/INJ,63L,125Kw,5,5M,2D COUPE,RWD,2725mm
